,artists,duration_ms,id,name,album.name,album.release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
0,The Weeknd,215626,5QO79kh1waicV47BqGRL3g,Save Your Tears,After Hours,2020,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,
1,Solera Orquesta,224106,1OhfBSn03Hye1441Ru4rFI,Procura Coquetearme Más,Desde el Mar,2014,0.592,0.755,8,-8.663,1,0.113,0.403,0.0,0.0853,0.937,199.685,
2,Nio Garcia,345240,6bvfJf4KjonPMuPfGfy3S2,La Jeepeta,Now Or Never,2020,0.814,0.714,4,-4.65,0,0.207,0.297,4.89e-06,0.091,0.789,176.013,
3,Videoclub,218706,7z2uCTo5Wu9CCMOGHeHSQN,Mai,Mai,2019,0.622,0.697,5,-8.666,1,0.0285,0.401,0.00163,0.339,0.315,105.005,"Paroles de la chanson Mai par Videoclub
[Matthieu Reynaud]
J'veux vivre et crier
Marcher longtemps dans les rues
Observer les gens muets
Dans la chaleur du soir les bras nus
Me nourrir uniquement de l'ennemi
D'ses défauts et d'sa folie
Puis recommencer deux jours plus tard
Faire ça toute ma vie
Monter en haut des toits
Faire des portraits d'mes amis
Parler à des gens que je connais pas
Et m'en tirer sans trop d'ennuis
Voilà c'est ça c'que j'veux
Des jours avec du soleil et de la pluie


[Adèle Castillon]
Pourrions-nous revenir sur cette histoire
Oui c'est bon, j'avoue, j'aurais dû te croire
Et pourrions-nous revenir sur cette histoire ?
Oui c'est bon, j'avoue, j'aurais dû te croire

[Adèle Castillon]
M'envoler dans la pluie
Déchirer mes copies
Échanger ces regards et pouvoir rentrer très tard
J'aurais dû sauver le jour pour t'offrir la nuit
Tes yeux regards hagards, essaye j'ai ma part
J'aurais pu, j'aurais dû
Oublier, voir l'été
Entre tes doigts
Moi je les vois
Les couleurs d'autrefois


[Adèle Castillon]
Pourrions-nous revenir sur cette histoire
Oui c'est bon, j'avoue, j'aurais dû te croire
Et pourrions-nous revenir sur cette histoire ?
Oui c'est bon, j'avoue, j'aurais dû te croire
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm

[Adèle Castillon]
Pourrions-nous revenir sur cette histoire
Oui c'est bon, j'avoue, j'aurais dû te croire
Et pourrions-nous revenir sur cette histoire ?
Oui c'est bon, j'avoue, j'aurais dû te croire et

[Matthieu Reynaud]

Pourrions-nous revenir sur cette histoire
C'est bon, j'avoue, j'aurais dû te croire

[Matthieu Reynaud & Adèle Castillon]
J'veux plus écouter, j'veux pas m'poser d'questions
La nuit dans les soirées j'continuerai à faire le con
J'veux pas demander, j'veux plus donner raison
Traitez-nous d'révoltés on en écrira des chansons !
J'veux plus écouter j'veux pas me poser de questions
La nuit dans les soirées j'continuerai à faire le con
J'veux pas demander, j'veux plus donner raison
Traitez-nous d'révoltés, on en écrira des chansons !


[ Adèle Castillon]
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm"
4,Videoclub,225253,28zSA1yhGkpqT6SX5GROKn,Roi,Roi,2018,0.701,0.375,9,-12.787,1,0.041,0.57,0.00206,0.1,0.253,107.984,"T'en trouvera d'autres des mecs comme moi
Il y en aura plein des gars pour toi
Tes boucles brunes s'évaporent
Dans mon âme, dans mon corps
Je te cherche dans mes songes
Je te traque dans mes rêves

À l'aube ou dans mon ombre errant veine ur tes lèvres

écorchant les abîmes de mon coeur

écarlate tu n'est que le point fixe de mes songes disparates

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Je vois des gens qui t'envient,

je vois des gens qui me sourient mais moi je plane dans la rue

Dans tes yeux, sous la pluie

Et je reste l'esprit de tes lointains souvenirs

Dans mes songes ensevelis, tes larmes, tes rires.

Tu es ma femme iconique.

Tu es mon rubis saphir.

Je suis ta rose lyrique.

Je suis ces gens qui t'admirent

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Des jours j'erre en fuyant la nuit j'parcours ta peau

Je parcours la ville

La fumée sortie de ta bouche file s'échappe de jours

En jours quand j'me réveille dans la nuit

Je suis seule sous mes vices

Je t'aime quand il pleut tu es la nymphe de mes voeux

Je t'embrasse dans mes rêves et je t'aime au bout des lèvres

Je déteste le goût mièvre de leur bouches de leurs rêves

Dans la nuit tu me regardes.

Sous les nuages je divague

Avec toi je suis roi,

Toi je suis roi, toi je suis roi, toi je suis roi

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Je suis un garçon de la nuit

Moi je laisse tomber les filles

Je n'aime que tes bas résilles

Qui dans mes pensées grésillent

Je suis un garçon de la nuit

Moi je laisse tomber les filles

Je n'aime que tes bas résilles

Qui dans mes pensées grésillent

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille"
5,girl in red,143355,00gLisxOrLruNwJFdpkHc2,forget her,we fell in love in october / forget her,2018,0.533,0.313,2,-16.827,1,0.033,0.631,0.681,0.072,0.517,148.926,
6,The Strokes,196133,0J2OnBNKwt0KICDyDFPUvl,Take It Or Leave It,Is This It,2001,0.429,0.924,2,-6.131,0,0.0406,0.000542,0.353,0.104,0.484,154.104,"Paroles de la chanson Take It Or Leave It par The Strokes
Leave me alone
I'm in control
I'm in control 
And girls act too much
And boys act too tough
Enough is enough
Were on the minds of other men I know she was

I said just take it or leave it
And take it or leave it
And take it or leave it
And take it or leave it
Oh just take it or leave it 
And take it or leave it
Oh take it


I say, he's gonna let you down
He's gonna let you down
He's gonna let you down
And gonna break your back, for a chance
And gonna steal your friends, if he can
He's gonna win someday

I fell off the track
Now I can't go back
I'm not like that
Boys act too much
Girls act too tough
Enough is enough. 
Well on the minds of other girls I know he was.

I said just take it or leave it
And take it or leave it
And take it or leave it

And take it or leave it
Oh just take it or leave it
And take it or leave it
Oh take it

Oh that's right, he's gonna let you down
He's gonna let you down
He's gonna let you down. 
And gonna break your back, for a chance
And gonna steal your friends, if he can 
He's gonna win someday
Oh he will"
7,The Strokes,208306,1EsgUWQsxGBwnu3NATDjiU,The Modern Age,Is This It,2001,0.53,0.89,2,-6.042,1,0.0328,0.0124,0.759,0.143,0.868,145.958,"Up on a hill, here's where we begin
This little story, long time ago
Stop to pretend, stop pretending
It seems this game is simply never ending
Ah in the sun, sun having fun it's in my blood

I just can't help it, don't want you here right now

Let me go

Let me go go go go go go go go



Leaving just in time, stayed there for a while

Rolling in the ocean, trying to catch her eye

Work hard and say it's easy, do it just to please me

Tomorrow will be different, so I'll pretend I'm leaving



I feel so different now, we tried to deviate

We should learn to stay

My vision's clearer now but I'm not afraid

Flying overseas, no time to feel the breeze

I took too many varieties



Ah in the sun, sun having fun it's in my blood

I just can't help it, don't want you here right now

Let me go

Let me go go go go go go go go



Leaving just in time, stayed there for a while

Rolling in the ocean, trying to catch her eye

Work hard and say it's easy, do it just to please me

Tomorrow will be different, so I'll pretend I'm leaving"
8,Jowell & Randy,212010,0cRgJuB6TRtb5RZ2HkjSLh,Anaranjado,Viva el Perreo,2020,0.763,0.58,8,-6.196,1,0.144,0.0466,1.6e-05,0.154,0.608,175.937,
9,ChiChi Peralta,271031,2q9udNV9NK0BL3q9p6TLxf,Procura,Pa' Otro La 'O,1997,0.805,0.757,8,-7.46,1,0.0355,0.279,0.000839,0.101,0.973,102.14,"Procura seducirme muy despacio 
y no reparo todo lo que en el año te hare 
procura caminarme ya 
como ola en el mar 
y te aseguro que me hundo para siempre en tu rodar 


quizas convenga que te alejes, quizas 

me domina la tentacion 

de imaginar que estoy tan cerca de ti 

tan cerca sin poder resistir 



procura coquetearme mas 

y no reparo de lo que te hare 

procura ser parte de mi 

y te aseguro que me hundo en ti 

procura no mirarme mas 

y no sabras de que te perderas 

es un dilema del que tu y yo podemos escapar 



procura coquetearme mas 

y no reparo de lo que te hare 

procura ser parte de mi 

y te aseguro que me hundo en ti 

procura no mirarme mas 

y no sabras de que te perderas 

es un dilema del que tu y yo podemos escapar 



procura coquetearme mas 

y no reparo de lo que te hare 



procura ser parte de mi 

y te aseguro que me hundo en ti 



procura no mirarme mas 

y no sabras de que te perderas 

es un dilema del que tu y yo podemos escapar 



procura mujer que se aceleran mis latidos 

procura mujer 

procura mujer y te aseguro que me hundo en ti 

procura mujer 



mi corazon se acelera 

por que tu dia te llega 

sabes que hay luna llena 



(procura mujer que se aceleran mis latidos 

procura mujer) 



ir acercando tus labios 

y coquetearme despacio 

(procura mujer ) 

que yo caiga en tus brazos 



(procura mujer que se aceleran mis latidos 

procura mujer) 



(procura mujer y te aseguro que me hundo en ti 

procura mujer) 



ir acercando tus labios 

y coquetearme despacio 

(procura mujer) 

que yo caiga en tus brazos 



(procura mujer que se aceleran mis latidos 

procura mujer) 



mi corazon se acelera 

por que tu dia te llega 

sabes que hay luna llena 



(procura mujer que se aceleran mis latidos 

procura mujer) 



(procura mujer y te aseguro que me hundo en ti 

procura mujer) 



procura coquetearme mas 

y no reparo de lo que te hare."
10,The Strokes,185560,0dy6iXYIF0piirySAzCBwF,The End Has No End,Room On Fire,2003,0.531,0.66,1,-3.725,1,0.0335,0.000833,0.855,0.226,0.533,136.027,"Paroles de la chanson The End Has No End par The Strokes
One by one, ticking time bombs won
It's not the secret of the government
That's keeping you dumb
Oh, it's the other way around - wait...
What's that sound?
One by one, baby, here they come.

He wants it easy; he want it relaxed
Said I can do alot of things, but I can't do that
Two steps forward, then three steps back
...Alright

""Won't you take a walk outside?""
-Oh no.
""Can't you find some other guy?""
-Oh no.

""1 9 6 9 what's that sound?""
-Oh no.
Keeping down the underground

Oh no...

The end has no end
The end has no end
The end has no end
The end has no end ...

He want it easy; he want it relaxed
Said I can do alot of things, but I can't do that
Two steps forward, then three steps back
It won't be easy

""Won't you take a walk outside?""
-Oh no.

""Can't you find another guy?""
-Oh no.
""1 9 6 3 what's that sound?""
-Oh no.
Keeping down the underground

Oh no...

The end has no end
The end has no end
The end has no end
the end has no end
The end has no end
The end has no end
The end has no end
The end has no end..."
11,J Balvin,322906,4jKX16TcfQIrqY1ZzDIZb2,Bonita - Remix,Bonita (Remix),2017,0.796,0.91,10,-0.39,0,0.0412,0.0107,4.43e-05,0.132,0.554,95.998,"(Dayme & El High)
This is the remix
Ella se tarda arreglándose un par de horas
Llama a su amiga, no le gusta salir sola
Y de la noche, dejarse llevar, oh
N.I.C.K., Los Lideres



Mami tu cuerpo una bendición

Pero me da una mala intención

Contigo quiere entrar en acción

Venga bailemos esta canción

Caliente, así se pone cuando el ritmo lo siente

Y no le importa que la mire to’ la gente

No dice nada, pero su cara no miente

Ihehehe



(The Remix)

Se pone caliente cuando escucha este perreo

Y yo también me pongo caliente si la veo

Ella es tan bonita, por ahí tan solita

Con esa cinturita, bailándome cerquita



(Ozuna)

Muévete ma' que la rumba empieza

Pero no lo pares, dale con certeza

Que tu amiga admire su naturaleza

Va segura se me jala la mano y me besa

Muchachita muy bonita colombianita

Eres lo que el negro necesita

Chiquita te me agarra por la cinturita

Y te me pego mami

Vamo’ a bailarlo como que se acabe el mundo hoy

Tu a mi me miras a los ojos y ya sabes lo que doy

Vamo’ a bailarlo como que se acabe el mundo hoy

Tu a mí me quieres yo te quiero pero solamente hoy



(Señores, Terminator)

Baby un, dos, tres, báilame otra vez

Le pregunto si quieres, me dices (Yes, yes)

Amigos y novios a la vez, hoy es noche de sex

Vamos a escaparnos un mes

Perreo, someteo, me caliento si te veo

Al noviecito tuyo, yo no se la creo

El rompe bocinas, te pillo en la esquina

Baby ponte fina, llegó el que te domina

Yo sé que tú, le das duro, contra el muro

Baby sácame de apuro y anuro

Perrero del duro y ella me grita (Papi dame duro)



Se pone caliente cuando escucha este perreo

Y yo también me pongo caliente si la veo

Ella es tan bonita, por ahí tan solita

Con esa cinturita, bailándome cerquita



(Yandel)

Me pongo caliente, cuando bailando la veo

Con esa carita bonita sé que yo coja vuelo

De esta rumba tú no te vas, dile a tu amiga que si se va

Que nos deje sola en una nota loca, así te quiero pa’ mi na mas

Se ve atractiva y a la vez adictiva

Como que le gusta el peligro yo la tengo en la mira



Que se preparen pa' la fiesta

Que la cintura darle vela

Ma', pégate al frente y que suba esa tela

Que esto está afinca'o hasta que a ti te duela

Tú eres mi bebé, no te me salgas de al frente

Báilalo fuerte ¿qué importa la gente?

Algarete, no importa la gente

To' eso es pa' mí, bailando te di fuete

No hay más na', te diré

Y esto no para hasta que estés sin conciencia

Que quite la paciencia y te sueltes las piernas

Hoy vamo' a meterte

Chula, tú tienes esa adicción que me pone y me tiene



Se pone caliente cuando escucha este perreo

Y yo también me pongo caliente si la veo

Ella es tan bonita, por ahí tan solita

Con esa cinturita, bailándome cerquita



Mami quiero verte, me tienes daña’a la mente

Del uno al diez, yo te doy veinte

Pa’ que te deleites, un remix del perreo bien fuerte

Y no importa que no sea decente

Mami te quiero cerquita, tocándote el pelo y esa cinturita

Te ves tan bonita y a la vez loquita

Pero yo soy tu loco en tu juego de diablita



(J Balvin)

Ella pide que la toque, a veces que la bese

Me manda razones, que cuando amanece

Está bien encendía, te tengo en la mira

Fiera de noche, una santa de día

Baby, el ritmo se adueña de tu piel

A ti te gusta y a mí también

Que nos pasemos las noches dándole

Baby, el ritmo se adueña de tu piel

A ti te gusta y a mí también

Que nos pasemos las noches dándole



Oye esto

Jowell & Randy

El negrito ojos claro

J Balvin

N.I.C.K, Nicky, Nicky, Nicky Jam

Yandel, Los Lideres

Dayme & El High

El Saybor

Háblame, Ronald

Kapital Music"
12,Kaiser Chiefs,202800,0VhhaYztcRWc7PEjJCjr1g,Ruby,"Yours Truly, Angry Mob (Deluxe)",2007,0.443,0.934,5,-3.398,0,0.0501,0.00604,6.66e-06,0.0779,0.401,93.43,"Let it never be said that romance is dead 
cos' there's so little else occupying my head 
There is nothing I need, cept the function to breathe 
But I'm not really fussed doesn't matter to me 
Ruby Ruby Ruby Ruby 

Do ya do ya do ya do ya 

Know what you're doing, doing to me 

Ruby Ruby Ruby Ruby 



Due to lack of interest 

tomorrow is cancelled 

let the clocks be reset and the pendulums held 

cos' theres nothing at all cept' the space in between 

Finding out what you're called and repeating your name 



Ruby Ruby Ruby Ruby 

Do ya do ya do ya do ya 

Know what you're doing, doing to me 

Ruby Ruby Ruby Ruby 



Could it be could it be that you're joking with me 

And you don't really see you with me 

Could it be could it be that you're joking with me 

And you don't really see you with me 



Ruby Ruby Ruby Ruby 

Do ya do ya do ya do ya 

Know what you're doing, doing to me 

Ruby Ruby Ruby Ruby 

Do ya do ya do ya do ya 

what you're doing, doing to me"
13,Arctic Monkeys,191040,2QUlMbvD9bL8wHqfsoqoet,Stop The World I Wanna Get Off With You,Why'd You Only Call Me When You're High?,2013,0.661,0.73,6,-6.779,0,0.0574,0.0537,3.44e-05,0.14,0.53,95.027,"Open Sesame. 
(We've places to go)
We've people to see. 
(Let's put 'em on hold)
There's all sorts of shapes, that I bet you can make...

When you want to escape say the word.



Well I know that getting you alone isn't easy to do.

With the exception of you I dislike everyone in the room,

And I don't wanna lie, but I don't wanna tell you the truth.

Get the sense that you're on the move,

And you'll probably be leaving soon, so I'm telling you.



Stop the world cause I wanna, get off, with you.

Stop the world cause I wanna, get off, with you.



Eyes the colour of, 

(Water left in ?)

Ice and sugar dust. (Crazy green flashes)

It's a funny thing, that I cannot explain,

Don't you know the train keeps a-rolling?



Stop the world cause I wanna, get off, with you.

Stop the world cause I wanna, get off, with you.



Well I know that getting you alone isn't easy to do.

And I don't wanna lie, and I don't wanna tell you the truth.

And I know we got places to go, we got people to see.

Think we both oughta put 'em on hold and I know you agree.



Stop the world cause I wanna, get off, with you.

Stop the world cause I wanna, get off, with you."
14,girl in red,151693,2zPcVDSpYNVKQ5c7jR7MXj,summer depression,summer depression,2018,0.691,0.306,9,-15.651,1,0.0544,0.632,0.479,0.108,0.62,129.929,"Depression
Teenage suicide
Why girls?
Emotional
Social anxiety

Pretty face with pretty bad dreams

No one knows I cry in my sleep

Waking up feeling like shit

It’s a normal thing to feel like this



I don’t care

I’m feeling down

I wanna stay home

Never go outside

Summer depression comes every year

I just want to disappear (depression)



Summer depression

There’s so much time to question my life

Summer depression

It’s my

Summer depression



My worst habit

Is my own sadness

So I stay up all night

Wondering why I'm so tired all the time



All my friends are doing things

It’s good for them

But I’m nothing

Summer depression comes every year

I just want to disappear (depression)



Summer depression (why?)

There’s so much time to question my life

Summer depression

It’s my

Summer depression



Teenage suicide

Why girls?

Emotional

Social anxiety

Depression



Summer depression

There’s so much time to question my life

Summer depression

It’s my

Summer depression

Depression"
15,Bad Bunny,286040,6C1RD7YQVvt3YQj0CmuTeu,Diles,Diles,2016,0.813,0.56,2,-5.904,0,0.0618,0.108,0.0,0.268,0.287,118.033,"Prende otro phillie bebé
Que ya mismo éste se apaga
Vamos para el cuarto polvo
Ya esto es una saga
Dice que le gusta hacerlo con mis temas de trap
Y si te preguntan por qué pa' el sexo yo soy tu fav



Diles, que yo me se tus poses favoritas

Que te hablo malo y que eso te excita

Que te hago todo lo que necesitas

Pa' hacerte venir



Diles, que yo me se tus poses favoritas

Que te hablo malo y que eso te excita

Que te hago todo lo que necesitas

Pa' hacerte venir



Vamos a hacerlo dentro del carro y pichea el hotel

Que tengo ganas bebé y no hay tiempo para perder

Cristales tintiao', nadie nos va a ver

Estamos bellacos y queremos meter

Tu y yo solitos dale apaga el cel

Que te voy a hacer lo que no te hace él

Y wow! Los cristales del carro se empañan

Tu carita de angel me engaña

Yo soy sano pero tu me dañas

Y wow! Prendi un kreepy y se puso lucia

Me dio un blowjob mientras conducia

Se trepo y me seducia

Diles a estos bobos que no se comparen

Si ellos son Lexus, yo soy un McLaren

Siempre de Polo Ralph Lauren

Con gotas pa' que los ojos se aclaren

El aire prendido y como quiera hace calor

Si te preguntan por qué es que yo te chingo mejor, baby...



Diles, que yo me se tus poses favoritas

Que te hablo malo y que eso te excita

Que te hago todo lo que necesitas

Pa' hacerte venir



Diles, que yo me se tus poses favoritas

Que te hablo malo y que eso te excita

Que te hago todo lo que necesitas

Pa' hacerte venir



Tu y yo haciéndolo nos vemos cabron

Dale bebé, quitate el mahon

Que ya yo eché pa' tras el sillon

Vamo' a hacerlo en el capsulon

Se transforma cuando ella ve humo (cuando ella ve humo!)

Me dice que como yo no hay ninguno (Woh!)

Nunca quiere que esto se termine

Pero después de dos horas pregunta que si ya me vine

Hacemos de to', nunca te limitas

Tu misma lo pones, me lo facilitas

Me encanta cuando me aruñas y me gritas

Me encanta que dures, nunca te me quitas

Hot pants de Victoria's, conmigo los estrena

Besos, mordidas, palabras obscenas

Ella no es actriz porno, pero conmigo hace pal' de escenas

Ella fuma y chinga desde la high

Siempre jangueando a escondidas del pai'

Tiene un mahon que no es de su size

Y yo loco de hacerle un creampie

Todos le tiran, pero siempre en vano

Todos le tiran, pero yo soy el que siempre le gano



Diles, que yo me se tus poses favoritas

Que te hablo malo y que eso te excita

Que te hago todo lo que necesitas

Pa' hacerte venir



Diles, que yo me se tus poses favoritas

Que te hablo malo y que eso te excita

Que te hago todo lo que necesitas

Pa' hacerte venir"
16,Lucas & Steve,187073,3m0BCyPaS5BN5iQgtdPr0u,Perfect (feat. Haris),Perfect (feat. Haris) [LUM!X Remix],2019,0.723,0.87,6,-4.96,1,0.0354,0.00266,3.5e-06,0.0581,0.509,127.932,
17,Alex Rose,259600,1bRpSCFv6P2OUhciByeRYR,Jangueo,LOST,2019,0.861,0.678,8,-4.157,0,0.0536,0.253,2.42e-05,0.106,0.723,103.994,"Yo no se si tú estás aborrecía
Hay algo que no puedo entender
Antes conmigo te amanecías, y ahora casi ni te dejas ver...
Ya no te veo en el mismo jangueo, me acuerdo aquellas noches que eran de perreo
A que le estás huyendo,

Vamo' de nuevo, a veces pienso que tienes alguien nuevo



Porque ya no te veo en el mismo jangueo, me acuerdo aquellas noches que eran de perreo

A que le estás huyendo,

Vamos de nuevo, a veces pienso que tienes alguien nuevo



Ye ye ye ye



Baby háblame claro dime, antes salías pata' abajo conmigo los fines, hey

Ahora dí que eres de tu casa,

Dime que te pasa, estan pidiendo calle esos ""jeenes""



Ese booty no tiene dueño, déjate de eso yo no se cual es tu empeño.

Sal de tu casa pa' que se te vaya el sueño

Vamo' a fumar, prendemos un leño



Baby hoy es tu día, olvida las penas, sal con tus amigas, siéntete bien buena y...

Lo que tú querías, sol playa y arena

Donde estas metía porque...



Ya no te veo en el mismo jangueo, me acuerdo aquellas noches que eran de perreo

A que le estás huyendo

Vamo' de nuevo, a veces pienso que tienes alguien nuevo



Porque ya no te veo en el mismo jangueo, me acuerdo aquellas noches que eran de perreo

A que le estás huyendo

Vamos de nuevo, a veces pienso que tienes alguien nuevo



Ye ye ye ye



Desde hace tiempo que no te veo (no te veo ye) desde hace tiempo que no se de tí, ohh ohh ohh

Dime si tienes alguien nuevo (dime dime)

Y si con el te olvidaste de mí



Sigo pensándote no te olvido, aquí esperándote mujer sigo, gracias por todo el tiempo perdido

Por como fuiste debí haber sido. Frío, en nadie confío, de nadie me fijo

Mejor vacilo por amar salí jodío



Baby hoy es tu día, olvida las penas, sal con tus amigas, siéntete bien buena y...

Lo que tú querías, sol playa y arena

Donde estas metía porque...



Porque ya no te veo en el mismo jangueo

Extraño aquellas noches que eran de perreo

A que le estás huyendo, vamos de nuevo

A veces pienso que tienes alguien nuevo



Porque ya no te veo en el mismo jangueo, me acuerdo aquellas noches que eran de perreo

A que le estás huyendo

Vamos de nuevo, a veces pienso que tienes alguien nuevo



Ye ye ye



Porque ya no te veo en el mismo jangueo...



Ya



Alex Rose el nuevo rockstar



Rafa Pabon



Ye



Lost Lost



Mera dime JX el Ingeniero



Yo siempre ando con los oídos fresh bebe



D-Note the beatllionare



Mera Dime Anton



Ye ye



Giova, Giova Kartoons"
18,The Strokes,163226,5MPryR3oJGmWnSYM7X2GGE,50/50,Comedown Machine,2013,0.491,0.93,11,-6.412,0,0.0347,4.23e-05,0.612,0.219,0.623,99.924,
